Nova SBE — MSc Management — Courses 2025/26;;;;;;;
Course Code;Period;Course Name;ECTS;Faculty;Type;Also Available In;Notes
2778;T4;Cybersecurity in Organizations;3,5;Mário Monteiro Marques;Elective;International MSc Management;
2491;T4;Data Visualization;3,5;Ji Rongjiao;Elective;International MSc Management;
2218;T4;Derivatives;3,5;Gustavo Freire;Elective;International MSc Management;
2441;T4;Digital Marketing;3,5;António Marinho Torres;Elective;International MSc Management;
2683;T4;E-Commerce and Metaverse;3,5;David Bernardo;Elective;International MSc Management;
2158;T4;Economics of Health Systems;3,5;Carolina Santos;Elective;International MSc Management;
2961;T4;Economics of Immigration;3,5;Cátia Batista;Elective;International MSc Management;
2332;T4;Entrepreneurship;3,5;Nadim Habib;Elective;International MSc Management;
2675;T4;European Union: Governance and Crises;3,5;António Vicente;Elective;International MSc Management;
2676;T4;Finance and the Transition to Net Zero;3,5;Fouad Hashem;Elective;International MSc Management;
2185;T4;Game Theory;3,5;Steffen Hoernig;Elective;International MSc Management;
2757;T4;Hotel Asset Management;3,5;Duarte Pimentel;Elective;International MSc Management;
2776;T4;Hotel Investment and Development;3,5;Carlos Miró;Elective;International MSc Management;
2397;T4;Innovation Management;3,5;António Marinho Torres;Elective;International MSc Management;
2338;T4;International Business;3,5;Yannick Wiessner;Elective;International MSc Management;
2498;T4;Luxury Seminar;3,5;Inês Risques & Michael Pinkhasov;Elective;International MSc Management;
2749;T4;Management in the Public Sector;3,5;Adolfo Mesquita Nunes;Elective;International MSc Management;
2417;T4;Management of Non-Profit Organizations;3,5;Silvia Herrero;Elective;International MSc Management;
2473;T4;Negotiation;3,5;Luís Almeida Costa;Elective;International MSc Management;
2623;T4;Network Analytics;3,5;Michail Batikas;Elective;International MSc Management;
2465;T4;Open Innovation;3,5;Paolo Leone;Elective;International MSc Management;
2359;T4;Operations Management;3,5;Utku Serhatli;Elective;International MSc Management;
2635;T4;Organizing for Good in the Digital Age;3,5;Paolo Leone;Elective;International MSc Management;
2500;T4;Performance and Progress;3,5;Marco Berti;Elective;International MSc Management;
2770;T4;Power and Social Change;3,5;Samantha Ortiz;Elective;International MSc Management;
2351;T4;Pricing Strategies;3,5;Jorge Velosa;Elective;International MSc Management;
2236;T4;Private Equity;3,5;Diogo Chalbert Santos | Luís Mota Duarte;Elective;International MSc Management;
2716;T4;Regenerative Business;3,5;Graham Miller;Elective;International MSc Management;
2475;T4;Sales and Retailing;3,5;Jorge Velosa;Elective;International MSc Management;
2588;T4;Science-Based Entrepreneurship and Innovation;3,5;Nuno Arantes e Oliveira;Elective;International MSc Management;
2690;T4;Shopper Marketing Management;3,5;Miguel Pinto Fernandes;Elective;International MSc Management;
2708;T4;Sports Marketing;3,5;Luís Vilar;Elective;International MSc Management;
2647;T4;Strategic Planning and Control;3,5;Marta Almeida;Elective;International MSc Management;
2592;T4;Strategy Implementation;3,5;João Silveira Lobo;Elective;International MSc Management;
2751;T4;Sustainable Marketing;3,5;Arnaud Monnier;Elective;International MSc Management;
